A:char(25)	B:char(25)	C:int	D:int
Puerto_Rico	Nevada	7	2
Arkansas	Oklahoma	5	9
Indiana	Kansas	8	6
West_Virginia	Vermont	7	4
Kansas	Vermont	2	9
Arkansas	South_Dakota	2	7
Idaho	Delaware	4	6
Puerto_Rico	Vermont	0	2
Montana	North_Dakota	5	2
Puerto_Rico	Delaware	3	4
South_Dakota	Connecticut	1	0
Connecticut	Singapore	4	0
South_Dakota	Arkansas	9	7
Montana	Colorado	9	6
District_of_Columbia	South_Dakota	7	5
Arkansas	Montana	7	1
West_Virginia	Business	2	6
Kansas	Montana	0	6
Delaware	Kansas	7	3
Business	Idaho	9	5
Montana	North_Dakota	0	3
Kentucky	Colorado	0	1
Nevada	South_Dakota	6	1
North_Dakota	Idaho	6	1
Montana	Puerto_Rico	5	4
Connecticut	Oklahoma	5	2
Puerto_Rico	Delaware	4	3
Singapore	Kentucky	0	9
Arkansas	Nevada	0	5
Connecticut	District_of_Columbia	8	4
Nevada	Puerto_Rico	9	9
Singapore	Connecticut	3	9
District_of_Columbia	Kentucky	2	5
District_of_Columbia	Montana	0	9
Indiana	Delaware	4	8
Kansas	Montana	8	3
Montana	Idaho	8	8
Oklahoma	Arkansas	3	0
North_Dakota	Kentucky	5	4
Business	South_Dakota	8	0
Idaho	New_Hampshire	4	8
District_of_Columbia	New_Hampshire	8	5
Delaware	Idaho	4	0
Kansas	West_Virginia	5	5
Delaware	Montana	6	8
Delaware	Kentucky	1	1
West_Virginia	Indiana	4	6
South_Dakota	Connecticut	0	6
Business	Kentucky	2	0
Business	Singapore	9	0
Singapore	Montana	9	9
Puerto_Rico	Delaware	7	3
Delaware	New_Hampshire	5	3
Vermont	Montana	9	1
New_Hampshire	West_Virginia	3	7
District_of_Columbia	Vermont	2	1
Idaho	Connecticut	5	6
District_of_Columbia	Indiana	9	9
Montana	District_of_Columbia	1	3
South_Dakota	Indiana	2	4
Oklahoma	Indiana	4	1
District_of_Columbia	Business	1	0
Delaware	Colorado	0	5
Arkansas	Montana	8	8
Puerto_Rico	New_Hampshire	3	2
South_Dakota	Singapore	6	5
Connecticut	Idaho	6	8
Kentucky	Montana	0	6
Indiana	Connecticut	1	8
Oklahoma	West_Virginia	6	3
Idaho	Kansas	5	2
Indiana	Singapore	8	6
District_of_Columbia	Nevada	7	2
North_Dakota	Puerto_Rico	5	6
West_Virginia	Kansas	7	6
Arkansas	Kansas	2	2
South_Dakota	West_Virginia	8	8
Oklahoma	Kansas	1	2
Puerto_Rico	Kansas	7	7
Arkansas	Business	8	4
Vermont	Business	6	2
Montana	West_Virginia	1	0
New_Hampshire	West_Virginia	9	3
Delaware	Oklahoma	8	7
Delaware	Business	6	7
Kansas	Colorado	5	3
District_of_Columbia	Colorado	3	9
Nevada	Business	9	5
Arkansas	Oklahoma	8	7
Indiana	Puerto_Rico	9	3
Idaho	Arkansas	1	1
West_Virginia	West_Virginia	6	2
Kansas	Vermont	8	1
Idaho	Puerto_Rico	8	1
Puerto_Rico	Connecticut	2	9
Connecticut	West_Virginia	2	2
Colorado	Oklahoma	5	7
Puerto_Rico	Oklahoma	3	8
Business	Puerto_Rico	5	9
Business	Kentucky	0	3
Delaware	Kentucky	9	6
Puerto_Rico	North_Dakota	9	8
Delaware	Vermont	4	8
West_Virginia	Singapore	0	0
South_Dakota	District_of_Columbia	5	9
West_Virginia	Singapore	0	9
West_Virginia	Vermont	7	6
Arkansas	Vermont	9	5
New_Hampshire	West_Virginia	6	2
Kentucky	Montana	6	7
Indiana	Montana	9	1
Indiana	West_Virginia	5	0
Kentucky	Connecticut	8	7
West_Virginia	New_Hampshire	2	0
Business	Indiana	4	1
Idaho	Oklahoma	5	8
Business	Vermont	1	9
New_Hampshire	Delaware	6	2
Delaware	Connecticut	8	3
Delaware	West_Virginia	6	2
New_Hampshire	Kentucky	8	0
Puerto_Rico	Indiana	8	4
Business	District_of_Columbia	5	8
Colorado	South_Dakota	3	1
Indiana	Business	5	7
District_of_Columbia	South_Dakota	2	2
Colorado	Business	7	4
Singapore	West_Virginia	0	9
Vermont	New_Hampshire	3	3
Indiana	Nevada	0	8
Puerto_Rico	Arkansas	8	4
Puerto_Rico	Delaware	6	4
Connecticut	New_Hampshire	7	4
Oklahoma	Singapore	1	6
Kentucky	Singapore	2	1
Nevada	Kentucky	4	9
Indiana	Connecticut	4	2
Indiana	Kentucky	9	1
North_Dakota	District_of_Columbia	8	3
Connecticut	West_Virginia	8	5
Nevada	Colorado	0	2
Vermont	Idaho	3	1
Colorado	Kansas	4	9
Kansas	Connecticut	7	3
Delaware	Colorado	5	6
Oklahoma	Connecticut	9	6
South_Dakota	Montana	1	3
Oklahoma	New_Hampshire	2	3
New_Hampshire	District_of_Columbia	3	9
Oklahoma	New_Hampshire	0	2
Arkansas	Connecticut	6	2
District_of_Columbia	District_of_Columbia	0	3
Puerto_Rico	Delaware	3	7
Nevada	West_Virginia	2	1
Arkansas	South_Dakota	9	5
Colorado	South_Dakota	1	2
Colorado	Idaho	8	0
Arkansas	Vermont	7	6
Delaware	Arkansas	4	4
North_Dakota	Nevada	5	6
Oklahoma	Connecticut	5	4
Arkansas	Idaho	7	7
Nevada	Delaware	5	9
Idaho	Arkansas	9	2
Singapore	New_Hampshire	6	2
Kansas	Puerto_Rico	4	3
Arkansas	Singapore	8	1
Oklahoma	South_Dakota	6	8
North_Dakota	Nevada	3	1
West_Virginia	New_Hampshire	1	5
Montana	Montana	9	0
Indiana	Connecticut	1	7
Colorado	Delaware	2	7
Idaho	Kansas	7	0
New_Hampshire	Arkansas	3	4
Vermont	Connecticut	8	5
Montana	Oklahoma	1	7
Nevada	West_Virginia	2	8
Idaho	Puerto_Rico	5	1
Nevada	Business	2	7
Vermont	Kansas	7	1
Nevada	North_Dakota	6	2
Montana	Connecticut	8	2
North_Dakota	New_Hampshire	4	3
New_Hampshire	Vermont	9	1
Singapore	Kansas	5	6
Idaho	Singapore	6	1
Connecticut	Arkansas	1	1
Kentucky	Indiana	5	4
Arkansas	District_of_Columbia	4	8
Indiana	Singapore	0	2
South_Dakota	Nevada	4	3
South_Dakota	Business	5	8
Puerto_Rico	Connecticut	5	3
Kentucky	Puerto_Rico	3	3
District_of_Columbia	Idaho	1	1
South_Dakota	Idaho	9	0
West_Virginia	Business	0	9
Business	Delaware	6	0
Oklahoma	New_Hampshire	3	7
Puerto_Rico	Arkansas	3	7
Connecticut	Idaho	3	0
Montana	Kansas	6	6
Indiana	Arkansas	0	5
Vermont	Delaware	9	7
Indiana	New_Hampshire	8	2
Business	South_Dakota	4	4
Delaware	North_Dakota	4	0
District_of_Columbia	Vermont	5	3
Idaho	Connecticut	7	0
Connecticut	Indiana	2	7
Connecticut	New_Hampshire	0	6
Business	West_Virginia	4	1
Connecticut	Colorado	0	4
Arkansas	Nevada	9	7
Idaho	New_Hampshire	6	6
Singapore	Delaware	8	8
West_Virginia	Singapore	6	8
Kansas	South_Dakota	7	6
Vermont	District_of_Columbia	2	9
Oklahoma	New_Hampshire	6	5
Montana	Connecticut	2	7
Montana	Delaware	0	8
Idaho	Nevada	8	1
District_of_Columbia	West_Virginia	6	5
Vermont	Kansas	9	5
Business	District_of_Columbia	6	1
Montana	Business	1	6
Indiana	New_Hampshire	1	2
Nevada	Kentucky	7	9
West_Virginia	Oklahoma	4	1
Vermont	Kentucky	7	1
New_Hampshire	Singapore	7	0
Kentucky	Nevada	8	0
Oklahoma	Singapore	4	7
Business	Puerto_Rico	9	4
Oklahoma	Kansas	3	5
Singapore	North_Dakota	8	1
Delaware	Delaware	0	8
Vermont	Nevada	4	9
South_Dakota	Delaware	1	5
Connecticut	West_Virginia	1	1
New_Hampshire	Singapore	7	8
Idaho	Montana	8	2
Arkansas	Nevada	6	8
Vermont	Puerto_Rico	1	7
Kansas	Kansas	0	4
New_Hampshire	West_Virginia	9	6
Kentucky	Singapore	4	9
Montana	Singapore	7	6
Idaho	New_Hampshire	0	9
Colorado	Delaware	6	2
Indiana	South_Dakota	5	1
Kentucky	New_Hampshire	8	8
